category,price_e_tax,price_i_tax,tax,quantity,upc,reviews
Sequential Art,13.61,13.61,0.00,In stock (16 available),0fa6dceead7ce47a,0
Fantasy,13.34,13.34,0.00,In stock (16 available),0e691eda369f4e09,0
Sequential Art,18.97,18.97,0.00,In stock (16 available),e80f8e518b300dfe,0
History,36.28,36.28,0.00,In stock (16 available),7392c0032f92d816,0
Sequential Art,10.16,10.16,0.00,In stock (16 available),9429b4d59c537af5,0
Sequential Art,15.44,15.44,0.00,In stock (16 available),889139b8e9c4cb36,0
Sequential Art,48.41,48.41,0.00,In stock (16 available),11809b1d323b3057,0
Self Help,46.35,46.35,0.00,In stock (16 available),9ffa38d3b832433a,0
Add a comment,14.07,14.07,0.00,In stock (16 available),b757c0c361e689ce,0
Young Adult,14.86,14.86,0.00,In stock (16 available),3c346ab1e76ae1f6,0
Food and Drink,33.37,33.37,0.00,In stock (16 available),784bc2279baa878d,0
Fantasy,56.40,56.40,0.00,In stock (16 available),fa9610a50a1bf149,0
Food and Drink,14.02,14.02,0.00,In stock (16 available),72f9d5be3472d34e,0
Sequential Art,46.91,46.91,0.00,In stock (16 available),460089f796fb3f82,0
Sequential Art,45.61,45.61,0.00,In stock (16 available),b6ee99bcf06fc91f,0
Sequential Art,19.92,19.92,0.00,In stock (16 available),57e5a4d515c8ce44,0
Food and Drink,40.11,40.11,0.00,In stock (16 available),7b75cc7f223791f4,0
Add a comment,53.90,53.90,0.00,In stock (16 available),228f74b74f3a08ae,0
Science Fiction,35.67,35.67,0.00,In stock (16 available),18ad3ed896c7ce05,0
Nonfiction,22.00,22.00,0.00,In stock (16 available),b136b1b180ca753a,0
Science,57.36,57.36,0.00,In stock (16 available),e4f74c16de34d440,0
Sequential Art,29.17,29.17,0.00,In stock (16 available),8d4eefad7a2b3915,0
Sequential Art,54.63,54.63,0.00,In stock (16 available),1c89ae5bb804e4de,0
Self Help,46.03,46.03,0.00,In stock (16 available),a6f99b9e687f9d46,0
Romance,33.97,33.97,0.00,In stock (16 available),2a97cffe61c3c4c7,0
Sequential Art,22.11,22.11,0.00,In stock (16 available),f2df3bb043a8abb0,0
Historical Fiction,29.69,29.69,0.00,In stock (16 available),9beb96a2300109d7,0
Romance,15.97,15.97,0.00,In stock (16 available),9e28048cea8d41f7,0
Romance,21.96,21.96,0.00,In stock (16 available),7add3f8e49ec0826,0
Nonfiction,54.35,54.35,0.00,In stock (16 available),311c0dd0e354a33e,0
Religion,37.97,37.97,0.00,In stock (16 available),fce19f9b4a943f22,0
Sequential Art,51.99,51.99,0.00,In stock (16 available),09b6cc87e62c2c58,0
Fantasy,43.29,43.29,0.00,In stock (16 available),7267864328ae8b9d,0
Sequential Art,36.72,36.72,0.00,In stock (16 available),8754c83ab2a7ae71,0
Sequential Art,17.08,17.08,0.00,In stock (16 available),7b599c8bfcdd8d30,0
Nonfiction,29.14,29.14,0.00,In stock (16 available),bee3672891cca906,0
Young Adult,28.81,28.81,0.00,In stock (16 available),5ceb951f629700a2,0
Default,49.46,49.46,0.00,In stock (16 available),74baabfc8fd84b38,0
Sequential Art,37.92,37.92,0.00,In stock (16 available),bdf415fd484ea8a7,0
Fantasy,28.09,28.09,0.00,In stock (16 available),6d5300b2d8f37e07,0
Nonfiction,30.81,30.81,0.00,In stock (16 available),38d45839cb1c83c1,0
Default,42.95,42.95,0.00,In stock (16 available),70ed59f194b3c556,0
Default,56.76,56.76,0.00,In stock (16 available),8a380641491d43ed,0
Mystery,16.64,16.64,0.00,In stock (16 available),f733e8c19d40ec2e,0
Historical Fiction,55.53,55.53,0.00,In stock (16 available),3a6fb983e2554023,0
Young Adult,28.13,28.13,0.00,In stock (16 available),842790dfaa937484,0
Fantasy,52.37,52.37,0.00,In stock (16 available),01d2001ac1e6f8a3,0
Christian,54.00,54.00,0.00,In stock (16 available),e4ac92d89b946781,0
Religion,21.87,21.87,0.00,In stock (15 available),796c87ddbbaaf8c5,0
Science Fiction,43.30,43.30,0.00,In stock (15 available),9270575728a13a61,0
Fiction,21.04,21.04,0.00,In stock (15 available),b8736690cf263a3c,0
Default,41.60,41.60,0.00,In stock (15 available),d7d6d50c1e3d0b81,0
Fantasy,35.07,35.07,0.00,In stock (15 available),590a9cccf7db9f7d,0
History,59.64,59.64,0.00,In stock (15 available),de3f25248ba0789f,0
Default,52.72,52.72,0.00,In stock (15 available),bc2a85fd35fdc7bd,0
Childrens,58.08,58.08,0.00,In stock (15 available),37c0cb19713d8dda,0
Romance,24.12,24.12,0.00,In stock (15 available),623e1a180426039b,0
Fiction,42.15,42.15,0.00,In stock (15 available),fd3a622648667296,0
Business,12.61,12.61,0.00,In stock (15 available),3bebf34ee9330cbd,0
Philosophy,17.44,17.44,0.00,In stock (15 available),f5a92cff83897d48,0
Sequential Art,33.14,33.14,0.00,In stock (15 available),d6361d16212664ed,0
Default,27.37,27.37,0.00,In stock (15 available),961f18db4f138211,0
Fiction,51.36,51.36,0.00,In stock (15 available),0651062381f0636a,0
Default,36.00,36.00,0.00,In stock (15 available),e98a4efa85070c2f,0
Science Fiction,10.65,10.65,0.00,In stock (15 available),790ef197c8f236f5,0
Nonfiction,43.54,43.54,0.00,In stock (15 available),8ec14b1576cb7cb5,0
Nonfiction,38.21,38.21,0.00,In stock (15 available),209adad1015af86f,0
Food and Drink,37.34,37.34,0.00,In stock (15 available),e4c7f3487d17fd42,0
Mystery,44.10,44.10,0.00,In stock (15 available),c7b5183f4d1d4efe,0
New Adult,43.29,43.29,0.00,In stock (15 available),99ff4cc6491e8f5c,0
New Adult,55.85,55.85,0.00,In stock (15 available),08db62f24627e71f,0
Food and Drink,37.60,37.60,0.00,In stock (15 available),e28e330cbdf01126,0
Crime,10.97,10.97,0.00,In stock (15 available),abeafe151a587d3b,0
Default,41.82,41.82,0.00,In stock (15 available),eac1a180047ad54e,0
Historical Fiction,36.95,36.95,0.00,In stock (15 available),9287e238d7c3b06e,0
Fantasy,44.28,44.28,0.00,In stock (15 available),2dbb7ec08cdd7f3c,0
Default,55.02,55.02,0.00,In stock (15 available),e956d67c9bcc5809,0
Nonfiction,17.24,17.24,0.00,In stock (15 available),42d0d7c92b75fc1c,0
Default,23.15,23.15,0.00,In stock (15 available),d6670dfe3e7b42bd,0
Food and Drink,41.25,41.25,0.00,In stock (15 available),96a38e7c813d8f1d,0
Default,32.00,32.00,0.00,In stock (15 available),efc3768127714ec3,0
Nonfiction,38.49,38.49,0.00,In stock (15 available),dd047728de72ad62,0
Default,33.34,33.34,0.00,In stock (15 available),e7469e22b5bfb3e7,0
Autobiography,10.93,10.93,0.00,In stock (15 available),c99761a700ade23f,0
Business,27.55,27.55,0.00,In stock (15 available),56e4f9eab2e8e674,0
Romance,55.99,55.99,0.00,In stock (15 available),203b7f94b7d6115f,0
Romance,16.24,16.24,0.00,In stock (15 available),ca71e72655bece85,0
Science Fiction,26.12,26.12,0.00,In stock (15 available),2a70769cdc6eb8b8,0
Nonfiction,12.23,12.23,0.00,In stock (15 available),1b33663ad7b95fd8,0
Business,23.99,23.99,0.00,In stock (15 available),0e0dcc3339602b28,0
Add a comment,29.06,29.06,0.00,In stock (15 available),0c27e6c3744fc14b,0
Default,20.27,20.27,0.00,In stock (15 available),ad04ad9fc179fc5d,0
Young Adult,43.55,43.55,0.00,In stock (15 available),1c929cfd16b71907,0
Default,36.94,36.94,0.00,In stock (15 available),e656e280bc8edd56,0
Christian Fiction,20.47,20.47,0.00,In stock (15 available),b53db2271c9624f7,0
Default,41.06,41.06,0.00,In stock (15 available),d9c643fa1fc57bdb,0
Poetry,14.19,14.19,0.00,In stock (15 available),31001a1210623bd4,0
Young Adult,38.28,38.28,0.00,In stock (15 available),50b8f80311b31ede,0
Poetry,41.05,41.05,0.00,In stock (15 available),cfeb1e1e0e695b58,0
Historical Fiction,30.25,30.25,0.00,In stock (15 available),a40723994f715420,0
Add a comment,28.26,28.26,0.00,In stock (15 available),caf4fe9311f1dc59,0
Default,10.76,10.76,0.00,In stock (15 available),af96613fdd793a3c,0
Biography,16.85,16.85,0.00,In stock (15 available),d69dd8dac66f9f84,0
Childrens,13.47,13.47,0.00,In stock (15 available),4aa03792b50f0b22,0
Young Adult,48.56,48.56,0.00,In stock (15 available),ba54932df84e8cea,0
Default,19.15,19.15,0.00,In stock (15 available),c1afd71fc86bf682,0
Womens Fiction,57.36,57.36,0.00,In stock (15 available),fd8585283fc7d2d7,0
Fantasy,42.98,42.98,0.00,In stock (15 available),4ce91d31c1e57c33,0
Default,22.16,22.16,0.00,In stock (15 available),d163dd6c352fbcd2,0
Travel,49.43,49.43,0.00,In stock (15 available),ce60436f52c5ee68,0
Young Adult,29.99,29.99,0.00,In stock (15 available),116a2fdc9a45bab0,0
Horror,21.36,21.36,0.00,In stock (15 available),8585760646e3aa2a,0
Default,29.00,29.00,0.00,In stock (15 available),2f88b08bf0a0e367,0
Fiction,53.53,53.53,0.00,In stock (15 available),edb3097e71330040,0
Sequential Art,41.62,41.62,0.00,In stock (15 available),65d034adf80834b7,0
Default,54.59,54.59,0.00,In stock (15 available),29c0025455f8c585,0
Default,34.95,34.95,0.00,In stock (15 available),6ffb36aaeff1c81e,0
Default,37.72,37.72,0.00,In stock (15 available),f6d967cdadc6fbd9,0
Romance,35.61,35.61,0.00,In stock (15 available),3a11bb962ff45b78,0
Food and Drink,42.16,42.16,0.00,In stock (15 available),46c1530d7546ea6d,0
Erotica,19.19,19.19,0.00,In stock (15 available),88c21fcd38e2486e,0
Nonfiction,19.43,19.43,0.00,In stock (15 available),3b9a3b4624b7fd6d,0
Christian Fiction,49.46,49.46,0.00,In stock (15 available),a57b1dcbd6849222,0
Spirituality,37.80,37.80,0.00,In stock (15 available),513271dadc1322ae,0
Nonfiction,30.80,30.80,0.00,In stock (15 available),1f329c2e7d7de8bd,0
Nonfiction,27.43,27.43,0.00,In stock (15 available),919e7cb2269a25d2,0
Default,11.11,11.11,0.00,In stock (15 available),3f69e667a67e54d9,0
Sequential Art,36.50,36.50,0.00,In stock (15 available),7edc0527cf782e19,0
Sequential Art,15.38,15.38,0.00,In stock (15 available),47271d8e08b5d31c,0
Default,15.48,15.48,0.00,In stock (15 available),05f7c6d9a4e582d3,0
Default,46.82,46.82,0.00,In stock (15 available),d24b829be2ca81c4,0
Default,18.46,18.46,0.00,In stock (15 available),7ebfa6c1bee69e1e,0
Cultural,36.58,36.58,0.00,In stock (15 available),bb8245f52c7cce8f,0
Default,50.54,50.54,0.00,In stock (15 available),ffd54178acc9a6a5,0
Nonfiction,12.51,12.51,0.00,In stock (15 available),d195e7f4ed697350,0
History,24.70,24.70,0.00,In stock (14 available),dd5bfa6cc2c0ecc3,0
Thriller,43.61,43.61,0.00,In stock (14 available),024387ca4cafd5cc,0
Sequential Art,37.34,37.34,0.00,In stock (14 available),047097293bb4d1c0,0
Young Adult,14.36,14.36,0.00,In stock (14 available),3fb15ace50d6142b,0
Politics,52.65,52.65,0.00,In stock (14 available),2b5054a4192e9b06,0
Nonfiction,38.20,38.20,0.00,In stock (14 available),44a10f1ac8ce822e,0
Nonfiction,19.60,19.60,0.00,In stock (14 available),6fd646a334e6e133,0
Sequential Art,53.90,53.90,0.00,In stock (14 available),92275cedf6d8ee15,0
Childrens,12.96,12.96,0.00,In stock (14 available),6a31307a81e8f3a8,0
Default,37.10,37.10,0.00,In stock (14 available),4a1debca3135ff37,0
Young Adult,46.31,46.31,0.00,In stock (14 available),aba2db9afb1469c7,0
Default,45.95,45.95,0.00,In stock (14 available),76c84daa539426e2,0
Childrens,22.08,22.08,0.00,In stock (14 available),1d6443ffba9dfd80,0
Sequential Art,25.38,25.38,0.00,In stock (14 available),6e44bcbeac7f4360,0
Young Adult,27.12,27.12,0.00,In stock (14 available),f0f38174a7e689a3,0
Nonfiction,43.04,43.04,0.00,In stock (14 available),34c0d7c4ee5650af,0
Default,56.80,56.80,0.00,In stock (14 available),08b2f71d93836313,0
Add a comment,25.91,25.91,0.00,In stock (14 available),6875c5657661b2fb,0
Romance,32.61,32.61,0.00,In stock (14 available),c5cb9f885d8b3621,0
Fiction,27.88,27.88,0.00,In stock (14 available),e9906e2f0d189745,0
Fiction,52.67,52.67,0.00,In stock (14 available),081305e6df719dff,0
Fantasy,46.02,46.02,0.00,In stock (14 available),1528279aec1f3dce,0
Default,44.48,44.48,0.00,In stock (14 available),00c4543ec6bd25b4,0
Add a comment,37.40,37.40,0.00,In stock (14 available),e88fb1c9397cfb27,0
Default,54.04,54.04,0.00,In stock (14 available),012094e90a4b908d,0
Default,16.88,16.88,0.00,In stock (14 available),6bdd909329435e80,0
Historical Fiction,28.08,28.08,0.00,In stock (14 available),52cf2a5933ec5d8f,0
Psychology,10.40,10.40,0.00,In stock (14 available),4e812d32d64e2431,0
Humor,44.07,44.07,0.00,In stock (14 available),f21effc079a2b38a,0
Horror,23.40,23.40,0.00,In stock (14 available),2d88a31f325dfd3b,0
Nonfiction,17.43,17.43,0.00,In stock (14 available),4881cc53f6c8892f,0
Mystery,54.21,54.21,0.00,In stock (14 available),3bc89353f7e3a3cc,0
Add a comment,40.67,40.67,0.00,In stock (14 available),f72f61ad6a5f12ed,0
Fantasy,52.26,52.26,0.00,In stock (14 available),992974ba6a0536ea,0
Food and Drink,28.77,28.77,0.00,In stock (14 available),ddc8340dabc8641b,0
Thriller,13.82,13.82,0.00,In stock (14 available),847935fc68707426,0
Fiction,25.85,25.85,0.00,In stock (14 available),a86972014275e072,0
Add a comment,48.78,48.78,0.00,In stock (14 available),3d76bc83c6b644c9,0
Young Adult,35.35,35.35,0.00,In stock (14 available),6edacfd1f8ebb9eb,0
Fantasy,44.73,44.73,0.00,In stock (14 available),dc6f688b82e42a5b,0
Nonfiction,15.77,15.77,0.00,In stock (14 available),923831a05c9f91f7,0
Thriller,39.24,39.24,0.00,In stock (14 available),1b8187fa4bf6ab05,0
Mystery,13.92,13.92,0.00,In stock (14 available),0c7b9cf2b7662b65,0
Mystery,10.69,10.69,0.00,In stock (14 available),2d1e337aaf341858,0
Fiction,45.21,45.21,0.00,In stock (14 available),2c04320e110a14a3,0
Nonfiction,45.58,45.58,0.00,In stock (14 available),4c8b7540409da4ac,0
Sequential Art,11.89,11.89,0.00,In stock (14 available),ac8e3949d284e9a9,0
Fiction,26.41,26.41,0.00,In stock (14 available),fe44cc816576c652,0
Default,39.50,39.50,0.00,In stock (14 available),95019eac1c0a052f,0
Science,44.74,44.74,0.00,In stock (14 available),3edcccc4f341fb1a,0
Contemporary,52.79,52.79,0.00,In stock (14 available),a278db6b2b09cf9f,0
Sequential Art,35.43,35.43,0.00,In stock (14 available),394f6d30cafc3edb,0
Fiction,55.84,55.84,0.00,In stock (14 available),830fb3967c74866d,0
Travel,48.87,48.87,0.00,In stock (14 available),f9705c362f070608,0
Poetry,46.78,46.78,0.00,In stock (14 available),86cbddb61ea78bb7,0
Sequential Art,47.82,47.82,0.00,In stock (14 available),85b2176b3b194030,0
Sequential Art,25.48,25.48,0.00,In stock (14 available),31e2e2d9cca3778f,0
Childrens,23.57,23.57,0.00,In stock (14 available),a6454e329f872b78,0
Poetry,50.89,50.89,0.00,In stock (14 available),aa35446aab16017f,0
Horror,10.56,10.56,0.00,In stock (14 available),af58a74e4b2a23a0,0
Self Help,52.15,52.15,0.00,In stock (14 available),8ecf0356a3878811,0
Childrens,18.28,18.28,0.00,In stock (14 available),e34efcc824685332,0
Humor,11.83,11.83,0.00,In stock (14 available),02b74068fa98d8a4,0
Nonfiction,21.95,21.95,0.00,In stock (14 available),132ec5e8c984adef,0
Sequential Art,38.39,38.39,0.00,In stock (14 available),71e36f33981ddb74,0
Fiction,41.56,41.56,0.00,In stock (14 available),727bf2b86b19ad88,0
Fiction,24.48,24.48,0.00,In stock (14 available),cc82685d9f49bc2c,0
Young Adult,40.36,40.36,0.00,In stock (14 available),137b0b2775701e11,0
Fiction,28.90,28.90,0.00,In stock (14 available),caa2e5b3fb1b2d4c,0
Add a comment,37.61,37.61,0.00,In stock (14 available),47d47155e89c8be7,0
Business,38.85,38.85,0.00,In stock (14 available),b96fc7a0ea7d4b45,0
Childrens,53.95,53.95,0.00,In stock (14 available),5b43cae640f2338a,0
Default,49.83,49.83,0.00,In stock (14 available),d512871626a5e588,0
Sequential Art,51.51,51.51,0.00,In stock (14 available),a10c7515834240f3,0
Music,18.03,18.03,0.00,In stock (14 available),adb5f51c2e2ab13f,0
Nonfiction,29.14,29.14,0.00,In stock (14 available),24af96df0bafb925,0
Default,46.91,46.91,0.00,In stock (14 available),17fb5a88180f9904,0
Nonfiction,26.79,26.79,0.00,In stock (14 available),1174156c4a0eccaa,0
Default,16.28,16.28,0.00,In stock (14 available),708345c9897fd7c5,0
Food and Drink,19.55,19.55,0.00,In stock (14 available),245e6bf08b8d2955,0
Fantasy,29.65,29.65,0.00,In stock (14 available),2b52334fab158861,0
Humor,25.98,25.98,0.00,In stock (14 available),b8a8ff84233f0570,0
Fiction,10.60,10.60,0.00,In stock (14 available),aeff7b87a8e83ebb,0
Humor,14.75,14.75,0.00,In stock (14 available),fbb21a2f71f4d981,0
Default,47.02,47.02,0.00,In stock (14 available),6b6cd77fbc91b7a6,0
Romance,28.82,28.82,0.00,In stock (14 available),0b165bd4b9f42fd5,0
Nonfiction,58.79,58.79,0.00,In stock (14 available),afa829857f82f99e,0
Default,10.23,10.23,0.00,In stock (14 available),f201f263d8c23f97,0
Religion,30.03,30.03,0.00,In stock (14 available),eec424a84c9e4c68,0
Historical Fiction,45.84,45.84,0.00,In stock (14 available),de4b403cb629a29f,0
Art,49.05,49.05,0.00,In stock (14 available),9194ae88379dbf1a,0
Nonfiction,15.06,15.06,0.00,In stock (14 available),ac4dde0d1be05de0,0
Default,46.47,46.47,0.00,In stock (14 available),a2bd4ca82d908442,0
Fiction,27.09,27.09,0.00,In stock (14 available),9eaf58b03a2779cc,0
Sequential Art,57.62,57.62,0.00,In stock (14 available),27c5968fe43cc06e,0
Fiction,14.39,14.39,0.00,In stock (14 available),1d6dd0c87d90fe92,0
Nonfiction,51.75,51.75,0.00,In stock (14 available),a01f6d368ef64dc5,0
Health,54.07,54.07,0.00,In stock (14 available),047dfa57ba0bf638,0
Young Adult,55.35,55.35,0.00,In stock (14 available),ad2887ce04583910,0
Horror,40.12,40.12,0.00,In stock (14 available),bf5de316a5e9a4ab,0
Fantasy,37.51,37.51,0.00,In stock (14 available),3c6fe637a0180b01,0
Fiction,11.21,11.21,0.00,In stock (14 available),94a958ea126cdcd5,0
Default,36.58,36.58,0.00,In stock (14 available),0e94a089328be4bc,0
Christian,47.72,47.72,0.00,In stock (14 available),4b9d9cfe0f435788,0
Fiction,25.01,25.01,0.00,In stock (14 available),28cf0d1c51b491e5,0
Add a comment,22.13,22.13,0.00,In stock (14 available),33a3e0e3ffde0dcd,0
Default,44.14,44.14,0.00,In stock (14 available),42b0c50fc44140ec,0
Fantasy,56.02,56.02,0.00,In stock (14 available),966ebb738e0f9d9b,0
Default,11.23,11.23,0.00,In stock (14 available),1e264c677d4ee4ae,0
Default,43.28,43.28,0.00,In stock (14 available),5b987e54ee72525c,0
Default,47.27,47.27,0.00,In stock (14 available),8a6ec2761f91dad2,0
Add a comment,20.29,20.29,0.00,In stock (14 available),bfbb54bc8cdeed2b,0
Young Adult,50.83,50.83,0.00,In stock (14 available),e2e7b683b4c15b7d,0
Default,31.85,31.85,0.00,In stock (14 available),1b0fc9f777cad045,0
Default,46.23,46.23,0.00,In stock (14 available),5f22418922fa728b,0
Nonfiction,37.80,37.80,0.00,In stock (14 available),16ef91b9d827859c,0
Nonfiction,49.32,49.32,0.00,In stock (14 available),a80f66b254fe9eb3,0
Sequential Art,32.01,32.01,0.00,In stock (14 available),bf68dcb5fad3cc8c,0
Food and Drink,28.01,28.01,0.00,In stock (14 available),999912e63a3262ae,0
Food and Drink,50.62,50.62,0.00,In stock (14 available),0e0da9192a025efc,0
Fiction,17.03,17.03,0.00,In stock (14 available),9b65f676984c9f0c,0
Sequential Art,48.80,48.80,0.00,In stock (14 available),ffdc825785c0ede8,0
Young Adult,58.14,58.14,0.00,In stock (14 available),41164b8ac02a2c42,0
Add a comment,34.20,34.20,0.00,In stock (14 available),1fbb5f786e53a0ce,0
Default,51.48,51.48,0.00,In stock (14 available),ad41c24ccac0c7ce,0
Historical,29.87,29.87,0.00,In stock (14 available),39861fc1c0845d15,0
Sequential Art,10.90,10.90,0.00,In stock (14 available),5319169a72714c62,0
Nonfiction,56.37,56.37,0.00,In stock (14 available),cf1aa2fc02a7d1e0,0
Mystery,48.35,48.35,0.00,In stock (14 available),4416c474713ec1f5,0
Mystery,16.73,16.73,0.00,In stock (14 available),63ee5bc46066a8a8,0
Add a comment,56.48,56.48,0.00,In stock (14 available),c1379d3744f1dd2c,0
Add a comment,40.79,40.79,0.00,In stock (14 available),1ad06aed9349af46,0
Fiction,39.72,39.72,0.00,In stock (14 available),8682c03de6a844ff,0
History,14.58,14.58,0.00,In stock (14 available),d5e0526e1ab682a3,0
Add a comment,55.51,55.51,0.00,In stock (14 available),01a177623cce9596,0
History,21.80,21.80,0.00,In stock (14 available),6e8e5626ac4d279e,0
Default,13.33,13.33,0.00,In stock (13 available),ac5e0d3938caf686,0
Fantasy,38.73,38.73,0.00,In stock (13 available),2f0213137a80d485,0
Add a comment,37.86,37.86,0.00,In stock (13 available),44d97b6707dae3f0,0
Food and Drink,11.53,11.53,0.00,In stock (13 available),8bbd7df8a324f31d,0
Nonfiction,27.06,27.06,0.00,In stock (13 available),4be9d1910f8a4e80,0
