quote,author,author_id,tags,author_link
Life is what happens to us while we are making other plans.,Allen Saunders,/author/Allen-Saunders,"fate,life,misattributed-john-lennon,planning,plans",https://quotes.toscrape.com/author/Allen-Saunders
"I love you without knowing how, or when, or from where. I love you simply, without problems or pride: I love you in this way because I do not know any other way of loving but this, in which there is no I or you, so intimate that your hand upon my chest is my hand, so intimate that when I fall asleep your eyes close.",Pablo Neruda,/author/Pablo-Neruda,"love,poetry",https://quotes.toscrape.com/author/Pablo-Neruda
For every minute you are angry you lose sixty seconds of happiness.,Ralph Waldo Emerson,/author/Ralph-Waldo-Emerson,happiness,https://quotes.toscrape.com/author/Ralph-Waldo-Emerson
"If you judge people, you have no time to love them.",Mother Teresa,/author/Mother-Teresa,attributed-no-source,https://quotes.toscrape.com/author/Mother-Teresa
Anyone who thinks sitting in church can make you a Christian must also think that sitting in a garage can make you a car.,Garrison Keillor,/author/Garrison-Keillor,"humor,religion",https://quotes.toscrape.com/author/Garrison-Keillor
Beauty is in the eye of the beholder and it may be necessary from time to time to give a stupid or misinformed beholder a black eye.,Jim Henson,/author/Jim-Henson,humor,https://quotes.toscrape.com/author/Jim-Henson
"Today you are You, that is truer than true. There is no one alive who is Youer than You.",Dr. Seuss,/author/Dr-Seuss,"comedy,life,yourself",https://quotes.toscrape.com/author/Dr-Seuss
"If you want your children to be intelligent, read them fairy tales. If you want them to be more intelligent, read them more fairy tales.",Albert Einstein,/author/Albert-Einstein,"children,fairy-tales",https://quotes.toscrape.com/author/Albert-Einstein
"It is impossible to live without failing at something, unless you live so cautiously that you might as well not have lived at all - in which case, you fail by default.",J.K. Rowling,/author/J-K-Rowling,,https://quotes.toscrape.com/author/J-K-Rowling
Logic will get you from A to Z; imagination will get you everywhere.,Albert Einstein,/author/Albert-Einstein,imagination,https://quotes.toscrape.com/author/Albert-Einstein
"One good thing about music, when it hits you, you feel no pain.",Bob Marley,/author/Bob-Marley,music,https://quotes.toscrape.com/author/Bob-Marley
"The more that you read, the more things you will know. The more that you learn, the more places you'll go.",Dr. Seuss,/author/Dr-Seuss,"learning,reading,seuss",https://quotes.toscrape.com/author/Dr-Seuss
"Of course it is happening inside your head, Harry, but why on earth should that mean that it is not real?",J.K. Rowling,/author/J-K-Rowling,dumbledore,https://quotes.toscrape.com/author/J-K-Rowling
"The truth is, everyone is going to hurt you. You just got to find the ones worth suffering for.",Bob Marley,/author/Bob-Marley,friendship,https://quotes.toscrape.com/author/Bob-Marley
Not all of us can do great things. But we can do small things with great love.,Mother Teresa,/author/Mother-Teresa,"misattributed-to-mother-teresa,paraphrased",https://quotes.toscrape.com/author/Mother-Teresa
"To the well-organized mind, death is but the next great adventure.",J.K. Rowling,/author/J-K-Rowling,"death,inspirational",https://quotes.toscrape.com/author/J-K-Rowling
All you need is love. But a little chocolate now and then doesn't hurt.,Charles M. Schulz,/author/Charles-M-Schulz,"chocolate,food,humor",https://quotes.toscrape.com/author/Charles-M-Schulz
We read to know we're not alone.,William Nicholson,/author/William-Nicholson,"misattributed-to-c-s-lewis,reading",https://quotes.toscrape.com/author/William-Nicholson
Any fool can know. The point is to understand.,Albert Einstein,/author/Albert-Einstein,"knowledge,learning,understanding,wisdom",https://quotes.toscrape.com/author/Albert-Einstein
I have always imagined that Paradise will be a kind of library.,Jorge Luis Borges,/author/Jorge-Luis-Borges,"books,library",https://quotes.toscrape.com/author/Jorge-Luis-Borges
It is never too late to be what you might have been.,George Eliot,/author/George-Eliot,inspirational,https://quotes.toscrape.com/author/George-Eliot
"A reader lives a thousand lives before he dies, said Jojen. The man who never reads lives only one.",George R.R. Martin,/author/George-R-R-Martin,"read,readers,reading,reading-books",https://quotes.toscrape.com/author/George-R-R-Martin
You can never get a cup of tea large enough or a book long enough to suit me.,C.S. Lewis,/author/C-S-Lewis,"books,inspirational,reading,tea",https://quotes.toscrape.com/author/C-S-Lewis
You believe lies so you eventually learn to trust no one but yourself.,Marilyn Monroe,/author/Marilyn-Monroe,,https://quotes.toscrape.com/author/Marilyn-Monroe
"If you can make a woman laugh, you can make her do anything.",Marilyn Monroe,/author/Marilyn-Monroe,"girls,love",https://quotes.toscrape.com/author/Marilyn-Monroe
"Life is like riding a bicycle. To keep your balance, you must keep moving.",Albert Einstein,/author/Albert-Einstein,"life,simile",https://quotes.toscrape.com/author/Albert-Einstein
The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.,Marilyn Monroe,/author/Marilyn-Monroe,love,https://quotes.toscrape.com/author/Marilyn-Monroe
"A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.",Marilyn Monroe,/author/Marilyn-Monroe,attributed-no-source,https://quotes.toscrape.com/author/Marilyn-Monroe
Only in the darkness can you see the stars.,Martin Luther King Jr.,/author/Martin-Luther-King-Jr,"hope,inspirational",https://quotes.toscrape.com/author/Martin-Luther-King-Jr
"It matters not what someone is born, but what they grow to be.",J.K. Rowling,/author/J-K-Rowling,dumbledore,https://quotes.toscrape.com/author/J-K-Rowling
"Love does not begin and end the way we seem to think it does. Love is a battle, love is a war; love is a growing up.",James Baldwin,/author/James-Baldwin,love,https://quotes.toscrape.com/author/James-Baldwin
"There is nothing I would not do for those who are really my friends. I have no notion of loving people by halves, it is not my nature.",Jane Austen,/author/Jane-Austen,"friendship,love",https://quotes.toscrape.com/author/Jane-Austen
Do one thing every day that scares you.,Eleanor Roosevelt,/author/Eleanor-Roosevelt,"attributed,fear,inspiration",https://quotes.toscrape.com/author/Eleanor-Roosevelt
"I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.",Marilyn Monroe,/author/Marilyn-Monroe,attributed-no-source,https://quotes.toscrape.com/author/Marilyn-Monroe
"If I were not a physicist, I would probably be a musician. I often think in music. I live my daydreams in music. I see my life in terms of music.",Albert Einstein,/author/Albert-Einstein,music,https://quotes.toscrape.com/author/Albert-Einstein
"If you only read the books that everyone else is reading, you can only think what everyone else is thinking.",Haruki Murakami,/author/Haruki-Murakami,"books,thought",https://quotes.toscrape.com/author/Haruki-Murakami
The difference between genius and stupidity is: genius has its limits.,Alexandre Dumas fils,/author/Alexandre-Dumas-fils,misattributed-to-einstein,https://quotes.toscrape.com/author/Alexandre-Dumas-fils
"He's like a drug for you, Bella.",Stephenie Meyer,/author/Stephenie-Meyer,"drug,romance,simile",https://quotes.toscrape.com/author/Stephenie-Meyer
There is no friend as loyal as a book.,Ernest Hemingway,/author/Ernest-Hemingway,"books,friends,novelist-quotes",https://quotes.toscrape.com/author/Ernest-Hemingway
"When one door of happiness closes, another opens; but often we look so long at the closed door that we do not see the one which has been opened for us.",Helen Keller,/author/Helen-Keller,inspirational,https://quotes.toscrape.com/author/Helen-Keller
Life isn't about finding yourself. Life is about creating yourself.,George Bernard Shaw,/author/George-Bernard-Shaw,"inspirational,life,yourself",https://quotes.toscrape.com/author/George-Bernard-Shaw
"That's the problem with drinking, I thought, as I poured myself a drink. If something bad happens you drink in an attempt to forget; if something good happens you drink in order to celebrate; and if nothing happens you drink to make something happen.",Charles Bukowski,/author/Charles-Bukowski,alcohol,https://quotes.toscrape.com/author/Charles-Bukowski
You don’t forget the face of the person who was your last hope.,Suzanne Collins,/author/Suzanne-Collins,the-hunger-games,https://quotes.toscrape.com/author/Suzanne-Collins
"Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.",Suzanne Collins,/author/Suzanne-Collins,humor,https://quotes.toscrape.com/author/Suzanne-Collins
"To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.",C.S. Lewis,/author/C-S-Lewis,love,https://quotes.toscrape.com/author/C-S-Lewis
Not all those who wander are lost.,J.R.R. Tolkien,/author/J-R-R-Tolkien,"bilbo,journey,lost,quest,travel,wander",https://quotes.toscrape.com/author/J-R-R-Tolkien
"Do not pity the dead, Harry. Pity the living, and, above all those who live without love.",J.K. Rowling,/author/J-K-Rowling,live-death-love,https://quotes.toscrape.com/author/J-K-Rowling
There is nothing to writing. All you do is sit down at a typewriter and bleed.,Ernest Hemingway,/author/Ernest-Hemingway,"good,writing",https://quotes.toscrape.com/author/Ernest-Hemingway
Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.,Ralph Waldo Emerson,/author/Ralph-Waldo-Emerson,"life,regrets",https://quotes.toscrape.com/author/Ralph-Waldo-Emerson
I have never let my schooling interfere with my education.,Mark Twain,/author/Mark-Twain,education,https://quotes.toscrape.com/author/Mark-Twain
I have heard there are troubles of more than one kind. Some come from ahead and some come from behind. But I've bought a big bat. I'm all ready you see. Now my troubles are going to have troubles with me!,Dr. Seuss,/author/Dr-Seuss,troubles,https://quotes.toscrape.com/author/Dr-Seuss
If I had a flower for every time I thought of you...I could walk through my garden forever.,Alfred Tennyson,/author/Alfred-Tennyson,"friendship,love",https://quotes.toscrape.com/author/Alfred-Tennyson
Some people never go crazy. What truly horrible lives they must lead.,Charles Bukowski,/author/Charles-Bukowski,humor,https://quotes.toscrape.com/author/Charles-Bukowski
"The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.",Terry Pratchett,/author/Terry-Pratchett,"humor,open-mind,thinking",https://quotes.toscrape.com/author/Terry-Pratchett
"Think left and think right and think low and think high. Oh, the thinks you can think up if only you try!",Dr. Seuss,/author/Dr-Seuss,"humor,philosophy",https://quotes.toscrape.com/author/Dr-Seuss
"What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.",J.D. Salinger,/author/J-D-Salinger,"authors,books,literature,reading,writing",https://quotes.toscrape.com/author/J-D-Salinger
The reason I talk to myself is because I’m the only one whose answers I accept.,George Carlin,/author/George-Carlin,"humor,insanity,lies,lying,self-indulgence,truth",https://quotes.toscrape.com/author/George-Carlin
"You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.",John Lennon,/author/John-Lennon,"beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace",https://quotes.toscrape.com/author/John-Lennon
I am free of all prejudice. I hate everyone equally. ,W.C. Fields,/author/W-C-Fields,"humor,sinister",https://quotes.toscrape.com/author/W-C-Fields
The question isn't who is going to let me; it's who is going to stop me.,Ayn Rand,/author/Ayn-Rand,,https://quotes.toscrape.com/author/Ayn-Rand
′Classic′ - a book which people praise and don't read.,Mark Twain,/author/Mark-Twain,"books,classic,reading",https://quotes.toscrape.com/author/Mark-Twain
Anyone who has never made a mistake has never tried anything new.,Albert Einstein,/author/Albert-Einstein,mistakes,https://quotes.toscrape.com/author/Albert-Einstein
"A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.",Jane Austen,/author/Jane-Austen,"humor,love,romantic,women",https://quotes.toscrape.com/author/Jane-Austen
"Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.",J.K. Rowling,/author/J-K-Rowling,integrity,https://quotes.toscrape.com/author/J-K-Rowling
"I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.",Jane Austen,/author/Jane-Austen,"books,library,reading",https://quotes.toscrape.com/author/Jane-Austen
"There are few people whom I really love, and still fewer of whom I think well. The more I see of the world, the more am I dissatisfied with it; and every day confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of merit or sense.",Jane Austen,/author/Jane-Austen,"elizabeth-bennet,jane-austen",https://quotes.toscrape.com/author/Jane-Austen
Some day you will be old enough to start reading fairy tales again.,C.S. Lewis,/author/C-S-Lewis,"age,fairytales,growing-up",https://quotes.toscrape.com/author/C-S-Lewis
We are not necessarily doubting that God will do the best for us; we are wondering how painful the best will turn out to be.,C.S. Lewis,/author/C-S-Lewis,god,https://quotes.toscrape.com/author/C-S-Lewis
The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.,Mark Twain,/author/Mark-Twain,"death,life",https://quotes.toscrape.com/author/Mark-Twain
A lie can travel half way around the world while the truth is putting on its shoes.,Mark Twain,/author/Mark-Twain,"misattributed-mark-twain,truth",https://quotes.toscrape.com/author/Mark-Twain
"I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.",C.S. Lewis,/author/C-S-Lewis,"christianity,faith,religion,sun",https://quotes.toscrape.com/author/C-S-Lewis
"The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.",J.K. Rowling,/author/J-K-Rowling,truth,https://quotes.toscrape.com/author/J-K-Rowling
"I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.",Jimi Hendrix,/author/Jimi-Hendrix,"death,life",https://quotes.toscrape.com/author/Jimi-Hendrix
To die will be an awfully big adventure.,J.M. Barrie,/author/J-M-Barrie,"adventure,love",https://quotes.toscrape.com/author/J-M-Barrie
It takes courage to grow up and become who you really are.,E.E. Cummings,/author/E-E-Cummings,courage,https://quotes.toscrape.com/author/E-E-Cummings
But better to get hurt by the truth than comforted with a lie.,Khaled Hosseini,/author/Khaled-Hosseini,life,https://quotes.toscrape.com/author/Khaled-Hosseini
You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.,Harper Lee,/author/Harper-Lee,better-life-empathy,https://quotes.toscrape.com/author/Harper-Lee
"You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.",Madeleine L'Engle,/author/Madeleine-LEngle,"books,children,difficult,grown-ups,write,writers,writing",https://quotes.toscrape.com/author/Madeleine-LEngle
Never tell the truth to people who are not worthy of it.,Mark Twain,/author/Mark-Twain,truth,https://quotes.toscrape.com/author/Mark-Twain
"A person's a person, no matter how small.",Dr. Seuss,/author/Dr-Seuss,inspirational,https://quotes.toscrape.com/author/Dr-Seuss
"... a mind needs books as a sword needs a whetstone, if it is to keep its edge.",George R.R. Martin,/author/George-R-R-Martin,"books,mind",https://quotes.toscrape.com/author/George-R-R-Martin
