title,upc,category,price_e_tax,price_i_tax,tax,rating,reviews,quantity,stock,book_link,img_link
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,4c28def39d850cdf,Nonfiction,40.3,40.3,0.0,Five,0,In stock (18 available),In stock,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html,https://books.toscrape.com/media/cache/2e/98/2e98c332bf8563b584784971541c4445.jpg
Wall and Piece,ccd9ffa25efabdea,Art,44.18,44.18,0.0,Four,0,In stock (18 available),In stock,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html,https://books.toscrape.com/media/cache/a5/41/a5416b9646aaa7287baa287ec2590270.jpg
The Four Agreements: A Practical Guide to Personal Freedom,6258a1f6a6dcfe50,Spirituality,17.66,17.66,0.0,Five,0,In stock (18 available),In stock,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html,https://books.toscrape.com/media/cache/0f/7e/0f7ee69495c0df1d35723f012624a9f8.jpg
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,3c039985229453bf,Nonfiction,31.05,31.05,0.0,Three,0,In stock (18 available),In stock,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html,https://books.toscrape.com/media/cache/38/c5/38c56fba316c07305643a8065269594e.jpg
The Elephant Tree,5dada2b7be26bd03,Thriller,23.82,23.82,0.0,Five,0,In stock (18 available),In stock,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html,https://books.toscrape.com/media/cache/5d/7e/5d7ecde8e81513eba8a64c9fe000744b.jpg
The Bear and the Piano,9f6568e9c95f60b0,Childrens,36.89,36.89,0.0,One,0,In stock (18 available),In stock,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,https://books.toscrape.com/media/cache/cf/bb/cfbb5e62715c6d888fd07794c9bab5d6.jpg
Sophie's World,6be3beb0793a53e7,Philosophy,15.94,15.94,0.0,Five,0,In stock (18 available),In stock,https://books.toscrape.com/catalogue/sophies-world_966/index.html,https://books.toscrape.com/media/cache/65/71/6571919836ec51ed54f0050c31d8a0cd.jpg
Penny Maybe,668fe56b17cfcd4f,Default,33.29,33.29,0.0,Three,0,In stock (18 available),In stock,https://books.toscrape.com/catalogue/penny-maybe_965/index.html,https://books.toscrape.com/media/cache/12/53/1253c21c5ef3c6d075c5fa3f5fecee6a.jpg
Maude (1883-1993):She Grew Up with the country,094b269567e1c300,Default,18.02,18.02,0.0,Two,0,In stock (18 available),In stock,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html,https://books.toscrape.com/media/cache/f5/88/f5889d038f5d8e949b494d147c2dcf54.jpg
"In a Dark, Dark Wood",19ed25f4641d5efd,Mystery,19.63,19.63,0.0,One,0,In stock (18 available),In stock,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,https://books.toscrape.com/media/cache/23/85/238570a1c284e730dbc737a7e631ae2b.jpg
Behind Closed Doors,be5cc846f45496fb,Thriller,52.22,52.22,0.0,Four,0,In stock (18 available),In stock,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html,https://books.toscrape.com/media/cache/e1/5c/e15c289ba58cea38519e1281e859f0c1.jpg
You can't bury them all: Poems,55f9da0c5eea2e10,Poetry,33.63,33.63,0.0,Two,0,In stock (17 available),In stock,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html,https://books.toscrape.com/media/cache/e9/20/e9203b733126c4a0832a1c7885dc27cf.jpg
Slow States of Collapse: Poems,b4fd5943413e089a,Poetry,57.31,57.31,0.0,Three,0,In stock (17 available),In stock,https://books.toscrape.com/catalogue/slow-states-of-collapse-poems_960/index.html,https://books.toscrape.com/media/cache/72/41/72417db983862010ef0c1a25de98c7d7.jpg
Reasons to Stay Alive,c8f7f0cb1abb9cac,Nonfiction,26.41,26.41,0.0,Two,0,In stock (17 available),In stock,https://books.toscrape.com/catalogue/reasons-to-stay-alive_959/index.html,https://books.toscrape.com/media/cache/cb/bd/cbbdb0222ee8a0f6ab61657412a15794.jpg
Private Paris (Private #10),b12b89017878a60d,Fiction,47.61,47.61,0.0,Five,0,In stock (17 available),In stock,https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,https://books.toscrape.com/media/cache/9d/05/9d0533bae1578846d728a82913b95c26.jpg
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,c27f6e1f185b0383,Nonfiction,23.11,23.11,0.0,Five,0,In stock (17 available),In stock,https://books.toscrape.com/catalogue/higherselfie-wake-up-your-life-free-your-soul-find-your-tribe_957/index.html,https://books.toscrape.com/media/cache/9c/46/9c463c7631c82401160fd3b554b8f0e1.jpg
Without Borders (Wanderlove #1),acddfeab2a407640,New Adult,45.07,45.07,0.0,Two,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/without-borders-wanderlove-1_956/index.html,https://books.toscrape.com/media/cache/24/e2/24e2f5c9d325c4004d8190c054da86dd.jpg
When We Collided,3ecb690d1542c568,Contemporary,31.77,31.77,0.0,One,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/when-we-collided_955/index.html,https://books.toscrape.com/media/cache/08/04/08044269fc197645268a6197c57e6173.jpg
"We Love You, Charlie Freeman",8d455c7539795d2a,Fiction,50.27,50.27,0.0,Five,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,https://books.toscrape.com/media/cache/5f/15/5f152afdbc42356ecba02f61058a7e5b.jpg
Untitled Collection: Sabbath Poems 2014,657fe5ead67a7767,Poetry,14.27,14.27,0.0,Four,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/untitled-collection-sabbath-poems-2014_953/index.html,https://books.toscrape.com/media/cache/f9/3b/f93b4a650f03a5d21f2436d7813f42c2.jpg
"Unseen City: The Majesty of Pigeons, the Discreet Charm of Snails & Other Wonders of the Urban Wilderness",d170b5a0da46380e,Nonfiction,44.18,44.18,0.0,Four,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/unseen-city-the-majesty-of-pigeons-the-discreet-charm-of-snails-other-wonders-of-the-urban-wilderness_952/index.html,https://books.toscrape.com/media/cache/41/a2/41a20f35adf0caea24f208dc01ad7681.jpg
Unicorn Tracks,7ae099f3898e0209,Fantasy,18.78,18.78,0.0,Three,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/unicorn-tracks_951/index.html,https://books.toscrape.com/media/cache/76/8e/768ea5924ac1ef6297c2be9959c796c2.jpg
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",9a9d6e9bc555731e,History,25.52,25.52,0.0,One,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/unbound-how-eight-technologies-made-us-human-transformed-society-and-brought-our-world-to-the-brink_950/index.html,https://books.toscrape.com/media/cache/4a/3b/4a3b055f9e378a95fedbef55e7bab7ce.jpg
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),09555be379ad9253,Sequential Art,16.28,16.28,0.0,One,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,https://books.toscrape.com/media/cache/36/df/36df4caaf1420b1183a8235355d39e69.jpg
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,7858914fad68493c,Nonfiction,31.12,31.12,0.0,Three,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/throwing-rocks-at-the-google-bus-how-growth-became-the-enemy-of-prosperity_948/index.html,https://books.toscrape.com/media/cache/03/86/038650c9e7517b4baf2a423cd8eed38f.jpg
This One Summer,51653ef291ab7ddc,Sequential Art,19.49,19.49,0.0,Four,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,https://books.toscrape.com/media/cache/c4/dd/c4ddd9ced89966b0602ec85e00cd5b61.jpg
Thirst,709822d0b5bcb7f4,Fiction,17.27,17.27,0.0,Five,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/thirst_946/index.html,https://books.toscrape.com/media/cache/c4/0a/c40a64f59e7487b1a80a049f6ceb2ba5.jpg
The Torch Is Passed: A Harding Family Story,4eed62cf5f8d8edf,Add a comment,19.09,19.09,0.0,One,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/the-torch-is-passed-a-harding-family-story_945/index.html,https://books.toscrape.com/media/cache/33/e5/33e507172541628acfd421503196b578.jpg
The Secret of Dreadwillow Carse,b5ea0b5dabed25a8,Childrens,56.13,56.13,0.0,One,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,https://books.toscrape.com/media/cache/c4/a2/c4a2a1a026c67bcceb5a411c724d7d0c.jpg
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",142d767a56a9254d,Food and Drink,56.41,56.41,0.0,One,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/the-pioneer-woman-cooks-dinnertime-comfort-classics-freezer-food-16-minute-meals-and-other-delicious-ways-to-solve-supper_943/index.html,https://books.toscrape.com/media/cache/b7/f4/b7f4843dbe062d44be1ffcfa16b2faa4.jpg
The Past Never Ends,5ee94540d0749ea0,Mystery,56.5,56.5,0.0,Four,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,https://books.toscrape.com/media/cache/89/b8/89b850edb01851a91f64ba114b96acb6.jpg
The Natural History of Us (The Fine Art of Pretending #2),cedf82b5086e4691,Young Adult,45.22,45.22,0.0,Three,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html,https://books.toscrape.com/media/cache/5d/7f/5d7f496cdf5e5962a73ecdcc1505c1d5.jpg
The Nameless City (The Nameless City #1),7d385d34d12e60ff,Sequential Art,38.16,38.16,0.0,Four,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,https://books.toscrape.com/media/cache/f4/79/f479de5f305c2ac0512702cf7155bb74.jpg
The Murder That Never Was (Forensic Instincts #5),d01ac97e2b8947c2,Fiction,54.11,54.11,0.0,Three,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,https://books.toscrape.com/media/cache/dc/44/dc44f8e2aebac48ca8553814d9b021a8.jpg
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,aadee1c326d286e3,Science,42.96,42.96,0.0,Four,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html,https://books.toscrape.com/media/cache/d4/8d/d48d5122a15347e9fe2b15ad354d69bf.jpg
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",31075275518532d7,Add a comment,23.89,23.89,0.0,Four,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html,https://books.toscrape.com/media/cache/f8/6d/f86d08178e3788563ac17be5aefd29f0.jpg
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,0da9aa9d24677fc0,Nonfiction,16.77,16.77,0.0,Three,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html,https://books.toscrape.com/media/cache/95/64/95647d6a526bf54120b9445e124794e1.jpg
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",8c9e6bf2467d740d,Default,20.59,20.59,0.0,Five,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html,https://books.toscrape.com/media/cache/75/dc/75dce2f5949b407161f37f0af249b018.jpg
The Gutsy Girl: Escapades for Your Life of Epic Adventure,acd86a5426e21ca0,Nonfiction,37.13,37.13,0.0,One,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html,https://books.toscrape.com/media/cache/64/15/641570cd7e7aded53c7d33d78a9629f1.jpg
The Electric Pencil: Drawings from Inside State Hospital No. 3,a30b270e25489e5c,Nonfiction,56.06,56.06,0.0,One,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html,https://books.toscrape.com/media/cache/2e/23/2e236e23ad52aa74505f224f6552eda8.jpg
The Death of Humanity: and the Case for Life,bd261725b99f5983,Philosophy,58.11,58.11,0.0,Four,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,https://books.toscrape.com/media/cache/71/df/71df730cf38c232ee58a2e407135f055.jpg
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",43c6a960757cf559,Health,49.05,49.05,0.0,Three,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html,https://books.toscrape.com/media/cache/ee/3e/ee3e219d23e73ba71c79b700f183aaed.jpg
The Art Forger,80cfab6bcff3a244,Add a comment,40.76,40.76,0.0,Three,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/the-art-forger_930/index.html,https://books.toscrape.com/media/cache/70/fa/70fa6c0437d9c97dbeada6bd32bf9d2c.jpg
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,a3d2a4250807f1e9,History,19.73,19.73,0.0,One,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html,https://books.toscrape.com/media/cache/2d/4e/2d4e358712e6c9f1d3bdd78d1a16e5a8.jpg
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,7d6d2a6c0276f81b,Spirituality,32.24,32.24,0.0,Five,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html,https://books.toscrape.com/media/cache/96/db/96db61bb53930c560fb4c1c62b583816.jpg
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,87b0615b6e1f4d7b,Nonfiction,41.83,41.83,0.0,Four,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html,https://books.toscrape.com/media/cache/f3/4f/f34ffb24cc21c9f9f52dad4fd8f3ac21.jpg
Soul Reader,e6af5bf1163c1151,Default,39.58,39.58,0.0,Two,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/soul-reader_926/index.html,https://books.toscrape.com/media/cache/69/85/69852567cf97264a1442cbc882c84903.jpg
Security,6f78a0d744c35456,Horror,39.25,39.25,0.0,Two,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/security_925/index.html,https://books.toscrape.com/media/cache/da/df/dadfac66a89774b46b10225362724c83.jpg
"Saga, Volume 6 (Saga (Collected Editions) #6)",c849f0b2f5d6a742,Fantasy,25.02,25.02,0.0,Three,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html,https://books.toscrape.com/media/cache/43/ae/43aee83ebb31e2122a7215e413770e5c.jpg
"Saga, Volume 5 (Saga (Collected Editions) #5)",53a3d11bb568cc8b,Sequential Art,51.04,51.04,0.0,Two,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,https://books.toscrape.com/media/cache/e1/ea/e1ea6cb36e62ae6dc7b805f68ab9a700.jpg
Reskilling America: Learning to Labor in the Twenty-First Century,d7310206583a54b6,Nonfiction,19.83,19.83,0.0,Two,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html,https://books.toscrape.com/media/cache/97/f8/97f8debeeaaece9603267653076e760f.jpg
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",c82a3e358c773c73,Sequential Art,50.4,50.4,0.0,Three,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,https://books.toscrape.com/media/cache/f3/ef/f3efd43ae0fa85d9b325d5e8783e7af5.jpg
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",0fa6dceead7ce47a,Sequential Art,13.61,13.61,0.0,Five,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,https://books.toscrape.com/media/cache/78/0b/780b2c28122750c2c383846155815bf7.jpg
Princess Between Worlds (Wide-Awake Princess #5),0e691eda369f4e09,Fantasy,13.34,13.34,0.0,Five,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html,https://books.toscrape.com/media/cache/b7/e8/b7e84b78be3d9bb79b71156a5e5d4e42.jpg
"Pop Gun War, Volume 1: Gift",e80f8e518b300dfe,Sequential Art,18.97,18.97,0.0,One,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,https://books.toscrape.com/media/cache/c8/2f/c82f629a31b3f47bdb17ac14aa51076d.jpg
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",7392c0032f92d816,History,36.28,36.28,0.0,Two,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html,https://books.toscrape.com/media/cache/64/44/6444dacdcb9edaadbbd691524622aeb8.jpg
Patience,9429b4d59c537af5,Sequential Art,10.16,10.16,0.0,Three,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/patience_916/index.html,https://books.toscrape.com/media/cache/01/72/01726c619a05114dca75bd840095016d.jpg
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",889139b8e9c4cb36,Sequential Art,15.44,15.44,0.0,Four,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,https://books.toscrape.com/media/cache/cb/00/cb004189f548d75ad430d3ed19e6daa9.jpg
orange: The Complete Collection 1 (orange: The Complete Collection #1),11809b1d323b3057,Sequential Art,48.41,48.41,0.0,One,0,In stock (16 available),In stock,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,https://books.toscrape.com/media/cache/03/88/03886a8502ca54dbce0d91c2568ab69d.jpg
